campo,orientacao,preenchimento
perfil do investidor,"Banco, anjo, escritorio, universidade, governo, hub, tecnico ou patrocinador social",""
interesse principal,"Produto, impacto, IA, educacao juridica, legaltech, dados, governanca, evento",""
material enviado,"One-page, pitch, deck, documentos, cronograma, demo, follow-up",""
pergunta sensivel,"Registrar sem expor dado pessoal ou segredo",""
resposta prudente,"Separar MVP, piloto, producao, risco e revisao humana",""
proxima acao,"Reuniao, NDA, envio de material, piloto, carta de intencao",""
responsavel,"Humano responsavel pela continuidade",""
prazo,"Data ou janela de retorno",""
observacao,"Nao registrar dados pessoais sensiveis sem necessidade",""

